dataset,filas,columnas,tipos_datos,memoria_ram_mb,peso_disco_mb,schema,muestra_estructural,columnas_objeto_pesadas_mb
violencia,682558,8,"{""DEPARTAMENTO"": ""string"", ""MUNICIPIO"": ""string"", ""CODIGO DANE"": ""Int64"", ""ARMAS MEDIOS"": ""string"", ""FECHA HECHO"": ""string"", ""GENERO"": ""string"", ""GRUPO ETARIO"": ""string"", ""CANTIDAD"": ""Int64""}",82.33,60.61,"[""DEPARTAMENTO"", ""MUNICIPIO"", ""CODIGO DANE"", ""ARMAS MEDIOS"", ""FECHA HECHO"", ""GENERO"", ""GRUPO ETARIO"", ""CANTIDAD""]","[{""DEPARTAMENTO"": ""CALDAS"", ""MUNICIPIO"": ""Manizales (CT)"", ""CODIGO DANE"": 17001000, ""ARMAS MEDIOS"": ""SIN EMPLEO DE ARMAS"", ""FECHA HECHO"": ""10/03/2026"", ""GENERO"": ""FEMENINO"", ""GRUPO ETARIO"": ""ADULTOS"", ""CANTIDAD"": 2}, {""DEPARTAMENTO"": ""ATLÁNTICO"", ""MUNICIPIO"": ""Malambo"", ""CODIGO DANE"": 8433000, ""ARMAS MEDIOS"": ""SIN EMPLEO DE ARMAS"", ""FECHA HECHO"": ""15/03/2026"", ""GENERO"": ""FEMENINO"", ""GRUPO ETARIO"": ""ADULTOS"", ""CANTIDAD"": 1}]",{}
sexuales,392576,9,"{""DEPARTAMENTO"": ""string"", ""MUNICIPIO"": ""string"", ""CODIGO DANE"": ""Int64"", ""ARMAS MEDIOS"": ""string"", ""FECHA HECHO"": ""string"", ""GENERO"": ""string"", ""GRUPO ETARIO"": ""string"", ""CANTIDAD"": ""Int64"", ""delito"": ""string""}",69.61,55.24,"[""DEPARTAMENTO"", ""MUNICIPIO"", ""CODIGO DANE"", ""ARMAS MEDIOS"", ""FECHA HECHO"", ""GENERO"", ""GRUPO ETARIO"", ""CANTIDAD"", ""delito""]","[{""DEPARTAMENTO"": ""PUTUMAYO"", ""MUNICIPIO"": ""Mocoa (CT)"", ""CODIGO DANE"": 86001000, ""ARMAS MEDIOS"": ""NO REPORTADO"", ""FECHA HECHO"": ""04/02/2010"", ""GENERO"": ""FEMENINO"", ""GRUPO ETARIO"": ""ADULTOS"", ""CANTIDAD"": 1, ""delito"": ""ARTÍCULO 210 A. ACOSO SEXUAL""}, {""DEPARTAMENTO"": ""CASANARE"", ""MUNICIPIO"": ""Aguazul"", ""CODIGO DANE"": 85010000, ""ARMAS MEDIOS"": ""NO REPORTADO"", ""FECHA HECHO"": ""23/02/2010"", ""GENERO"": ""FEMENINO"", ""GRUPO ETARIO"": ""ADOLESCENTES"", ""CANTIDAD"": 1, ""delito"": ""ARTÍCULO 206. ACTO SEXUAL VIOLENTO""}]",{}
